RepRisk_ID,RepRisk_story_ID,RepRisk_substory_ID,news_date,source_language,related_issues,related_topic_tags,related_UNGC_principles,related_countries,related_countries_codes,severity,novelty,reach,name,headquarter_country,headquarter_country_code,sectors,url,all_ISINs,primary_ISIN,No_reported_risk_exposure
31,1036835,2010585,20191018,English,"Climate change, GHG emissions, and global pollution",Greenhouse gas (GHG) emissions,Principle 7 (Environment);Principle 8 (Environment);Principle 9 (Environment),Canada,CA,1,1,1,Chevron Corp (Chevron),United States of America,US,Oil and Gas,https://www.chevron.com,US166764BV15 US166764BZ29 US166764BY53 US166764BX70 US166764BW97 US166764BU32 US166764CA68 US166764AU41 US166764BB50 US166764AS94 US166764AP55 US166764AM25 US166764AK68 US166764AJ95 US166764AW07 US166764AX89 US166764BR03 US166764BQ20 US166764BM16 US166764BF64 US166764BE99 US166764BD17 US166764AA86 US166764AL42 US166764AN08 US166751AH01 US166764BL33 US166764BA77 US166764AG56 US166764AR12 US166764AH30 US166764AT77 US166764AB69 US166751AJ66 USU915281146 US166764AE09 US166764BC34 US166764BT68 US166764BN98 US166764BP47 US166764BK59 US166764BS85 US166764AV24 US166764AC43 US166764BH21 US166764AY62 US166764BG48 US1667641005,US1667641005,false
31,1054570,1207915,20191014,Italian,"Impacts on landscapes, ecosystems and biodiversity;Climate change, GHG emissions, and global pollution",Greenhouse gas (GHG) emissions,Principle 7 (Environment);Principle 8 (Environment);Principle 9 (Environment),Unspecified,,3,1,1,Chevron Corp (Chevron),United States of America,US,Oil and Gas,https://www.chevron.com,US166764BV15 US166764BZ29 US166764BY53 US166764BX70 US166764BW97 US166764BU32 US166764CA68 US166764AU41 US166764BB50 US166764AS94 US166764AP55 US166764AM25 US166764AK68 US166764AJ95 US166764AW07 US166764AX89 US166764BR03 US166764BQ20 US166764BM16 US166764BF64 US166764BE99 US166764BD17 US166764AA86 US166764AL42 US166764AN08 US166751AH01 US166764BL33 US166764BA77 US166764AG56 US166764AR12 US166764AH30 US166764AT77 US166764AB69 US166751AJ66 USU915281146 US166764AE09 US166764BC34 US166764BT68 US166764BN98 US166764BP47 US166764BK59 US166764BS85 US166764AV24 US166764AC43 US166764BH21 US166764AY62 US166764BG48 US1667641005,US1667641005,false
31,1058735,1212230,20191017,English,"Impacts on communities;Climate change, GHG emissions, and global pollution",Coal-fired power plants;Greenhouse gas (GHG) emissions,Principle 7 (Environment);Principle 8 (Environment);Principle 9 (Environment),Unspecified,,1,1,1,Chevron Corp (Chevron),United States of America,US,Oil and Gas,https://www.chevron.com,US166764BV15 US166764BZ29 US166764BY53 US166764BX70 US166764BW97 US166764BU32 US166764CA68 US166764AU41 US166764BB50 US166764AS94 US166764AP55 US166764AM25 US166764AK68 US166764AJ95 US166764AW07 US166764AX89 US166764BR03 US166764BQ20 US166764BM16 US166764BF64 US166764BE99 US166764BD17 US166764AA86 US166764AL42 US166764AN08 US166751AH01 US166764BL33 US166764BA77 US166764AG56 US166764AR12 US166764AH30 US166764AT77 US166764AB69 US166751AJ66 USU915281146 US166764AE09 US166764BC34 US166764BT68 US166764BN98 US166764BP47 US166764BK59 US166764BS85 US166764AV24 US166764AC43 US166764BH21 US166764AY62 US166764BG48 US1667641005,US1667641005,false
31,1083955,1239260,20191024,French,"Climate change, GHG emissions, and global pollution;Corruption, bribery, extortion and money laundering",Greenhouse gas (GHG) emissions;Lobbying,Principle 7 (Environment);Principle 8 (Environment);Principle 9 (Environment);Principle 10 (Anti-corruption),Unspecified,,3,2,1,Chevron Corp (Chevron),United States of America,US,Oil and Gas,https://www.chevron.com,US166764BV15 US166764BZ29 US166764BY53 US166764BX70 US166764BW97 US166764BU32 US166764CA68 US166764AU41 US166764BB50 US166764AS94 US166764AP55 US166764AM25 US166764AK68 US166764AJ95 US166764AW07 US166764AX89 US166764BR03 US166764BQ20 US166764BM16 US166764BF64 US166764BE99 US166764BD17 US166764AA86 US166764AL42 US166764AN08 US166751AH01 US166764BL33 US166764BA77 US166764AG56 US166764AR12 US166764AH30 US166764AT77 US166764AB69 US166751AJ66 USU915281146 US166764AE09 US166764BC34 US166764BT68 US166764BN98 US166764BP47 US166764BK59 US166764BS85 US166764AV24 US166764AC43 US166764BH21 US166764AY62 US166764BG48 US1667641005,US1667641005,false
31,1110815,1266595,20191104,English,"Climate change, GHG emissions, and global pollution",Greenhouse gas (GHG) emissions,Principle 7 (Environment);Principle 8 (Environment);Principle 9 (Environment),United States of America,US,1,1,2,Chevron Corp (Chevron),United States of America,US,Oil and Gas,https://www.chevron.com,US166764BV15 US166764BZ29 US166764BY53 US166764BX70 US166764BW97 US166764BU32 US166764CA68 US166764AU41 US166764BB50 US166764AS94 US166764AP55 US166764AM25 US166764AK68 US166764AJ95 US166764AW07 US166764AX89 US166764BR03 US166764BQ20 US166764BM16 US166764BF64 US166764BE99 US166764BD17 US166764AA86 US166764AL42 US166764AN08 US166751AH01 US166764BL33 US166764BA77 US166764AG56 US166764AR12 US166764AH30 US166764AT77 US166764AB69 US166751AJ66 USU915281146 US166764AE09 US166764BC34 US166764BT68 US166764BN98 US166764BP47 US166764BK59 US166764BS85 US166764AV24 US166764AC43 US166764BH21 US166764AY62 US166764BG48 US1667641005,US1667641005,false
31,113162,138764,20150106,English,Violation of national legislation;Occupational health and safety issues,Negligence,Principle 1 (Human Rights),United States of America,US,1,1,1,Chevron Corp (Chevron),United States of America,US,Oil and Gas,https://www.chevron.com,US166764BV15 US166764BZ29 US166764BY53 US166764BX70 US166764BW97 US166764BU32 US166764CA68 US166764AU41 US166764BB50 US166764AS94 US166764AP55 US166764AM25 US166764AK68 US166764AJ95 US166764AW07 US166764AX89 US166764BR03 US166764BQ20 US166764BM16 US166764BF64 US166764BE99 US166764BD17 US166764AA86 US166764AL42 US166764AN08 US166751AH01 US166764BL33 US166764BA77 US166764AG56 US166764AR12 US166764AH30 US166764AT77 US166764AB69 US166751AJ66 USU915281146 US166764AE09 US166764BC34 US166764BT68 US166764BN98 US166764BP47 US166764BK59 US166764BS85 US166764AV24 US166764AC43 US166764BH21 US166764AY62 US166764BG48 US1667641005,US1667641005,false
31,1132325,1288775,20191106,English,"Climate change, GHG emissions, and global pollution;Fraud",,Principle 7 (Environment);Principle 8 (Environment);Principle 9 (Environment),United States of America,US,1,1,2,Chevron Corp (Chevron),United States of America,US,Oil and Gas,https://www.chevron.com,US166764BV15 US166764BZ29 US166764BY53 US166764BX70 US166764BW97 US166764BU32 US166764CA68 US166764AU41 US166764BB50 US166764AS94 US166764AP55 US166764AM25 US166764AK68 US166764AJ95 US166764AW07 US166764AX89 US166764BR03 US166764BQ20 US166764BM16 US166764BF64 US166764BE99 US166764BD17 US166764AA86 US166764AL42 US166764AN08 US166751AH01 US166764BL33 US166764BA77 US166764AG56 US166764AR12 US166764AH30 US166764AT77 US166764AB69 US166751AJ66 USU915281146 US166764AE09 US166764BC34 US166764BT68 US166764BN98 US166764BP47 US166764BK59 US166764BS85 US166764AV24 US166764AC43 US166764BH21 US166764AY62 US166764BG48 US1667641005,US1667641005,false
31,113250,136932,20150112,English,"Impacts on communities;Impacts on landscapes, ecosystems and biodiversity;Local pollution;Local participation issues;Corruption, bribery, extortion and money laundering",Fracking;Wastewater management;Land ecosystems,Principle 7 (Environment);Principle 8 (Environment);Principle 9 (Environment);Principle 10 (Anti-corruption),Poland,PL,1,2,2,Chevron Corp (Chevron),United States of America,US,Oil and Gas,https://www.chevron.com,US166764BV15 US166764BZ29 US166764BY53 US166764BX70 US166764BW97 US166764BU32 US166764CA68 US166764AU41 US166764BB50 US166764AS94 US166764AP55 US166764AM25 US166764AK68 US166764AJ95 US166764AW07 US166764AX89 US166764BR03 US166764BQ20 US166764BM16 US166764BF64 US166764BE99 US166764BD17 US166764AA86 US166764AL42 US166764AN08 US166751AH01 US166764BL33 US166764BA77 US166764AG56 US166764AR12 US166764AH30 US166764AT77 US166764AB69 US166751AJ66 USU915281146 US166764AE09 US166764BC34 US166764BT68 US166764BN98 US166764BP47 US166764BK59 US166764BS85 US166764AV24 US166764AC43 US166764BH21 US166764AY62 US166764BG48 US1667641005,US1667641005,false
31,113315,137004,20150113,French,"Impacts on communities;Impacts on landscapes, ecosystems and biodiversity;Local pollution;Climate change, GHG emissions, and global pollution;Local participation issues",Indigenous people;Land grabbing;Greenhouse gas (GHG) emissions;Economic impact;Land ecosystems,Principle 7 (Environment);Principle 8 (Environment);Principle 9 (Environment),Brazil;Colombia;Ecuador;Peru;United States of America,BR;CO;EC;PE;US,2,2,1,Chevron Corp (Chevron),United States of America,US,Oil and Gas,https://www.chevron.com,US166764BV15 US166764BZ29 US166764BY53 US166764BX70 US166764BW97 US166764BU32 US166764CA68 US166764AU41 US166764BB50 US166764AS94 US166764AP55 US166764AM25 US166764AK68 US166764AJ95 US166764AW07 US166764AX89 US166764BR03 US166764BQ20 US166764BM16 US166764BF64 US166764BE99 US166764BD17 US166764AA86 US166764AL42 US166764AN08 US166751AH01 US166764BL33 US166764BA77 US166764AG56 US166764AR12 US166764AH30 US166764AT77 US166764AB69 US166751AJ66 USU915281146 US166764AE09 US166764BC34 US166764BT68 US166764BN98 US166764BP47 US166764BK59 US166764BS85 US166764AV24 US166764AC43 US166764BH21 US166764AY62 US166764BG48 US1667641005,US1667641005,false
31,1139705,1296810,20191106,English,"Impacts on communities;Impacts on landscapes, ecosystems and biodiversity;Climate change, GHG emissions, and global pollution;Fraud",,Principle 7 (Environment);Principle 8 (Environment);Principle 9 (Environment),United States of America,US,2,1,1,Chevron Corp (Chevron),United States of America,US,Oil and Gas,https://www.chevron.com,US166764BV15 US166764BZ29 US166764BY53 US166764BX70 US166764BW97 US166764BU32 US166764CA68 US166764AU41 US166764BB50 US166764AS94 US166764AP55 US166764AM25 US166764AK68 US166764AJ95 US166764AW07 US166764AX89 US166764BR03 US166764BQ20 US166764BM16 US166764BF64 US166764BE99 US166764BD17 US166764AA86 US166764AL42 US166764AN08 US166751AH01 US166764BL33 US166764BA77 US166764AG56 US166764AR12 US166764AH30 US166764AT77 US166764AB69 US166751AJ66 USU915281146 US166764AE09 US166764BC34 US166764BT68 US166764BN98 US166764BP47 US166764BK59 US166764BS85 US166764AV24 US166764AC43 US166764BH21 US166764AY62 US166764BG48 US1667641005,US1667641005,false
